2021.01.05 13:11:50 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex'': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status '...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status ': success | time=8ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots '...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots ': success | time=13ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW': success | time=9ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS'': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3205 'Add PROJECTS table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3205 'Add PROJECTS table': success | time=12ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 projects processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table': success | time=14ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table': success | time=22ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table': success | time=2ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings'': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties'': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties''...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
